StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-09-02T23:00:00Z,APXMIDP,03-09-2024,1,85.85,1309.35
2024-09-02T22:30:00Z,APXMIDP,02-09-2024,48,85.87,1250.8
2024-09-02T22:00:00Z,APXMIDP,02-09-2024,47,85.81,1679.05
2024-09-02T21:30:00Z,APXMIDP,02-09-2024,46,87.01,2451.7
2024-09-02T21:00:00Z,APXMIDP,02-09-2024,45,80.93,2307.35
2024-09-02T20:30:00Z,APXMIDP,02-09-2024,44,84.5,2820.35
2024-09-02T20:00:00Z,APXMIDP,02-09-2024,43,84.79,2804.2
2024-09-02T19:30:00Z,APXMIDP,02-09-2024,42,93.43,2992
2024-09-02T19:00:00Z,APXMIDP,02-09-2024,41,95.6,2852.3
2024-09-02T18:30:00Z,APXMIDP,02-09-2024,40,104.61,2821.65
2024-09-02T18:00:00Z,APXMIDP,02-09-2024,39,107.56,2545.5
2024-09-02T17:30:00Z,APXMIDP,02-09-2024,38,109.86,2472.75
2024-09-02T17:00:00Z,APXMIDP,02-09-2024,37,108.18,2413.55
2024-09-02T16:30:00Z,APXMIDP,02-09-2024,36,88.46,2685.9
2024-09-02T16:00:00Z,APXMIDP,02-09-2024,35,91.89,2151
2024-09-02T15:30:00Z,APXMIDP,02-09-2024,34,80.31,2711.45
2024-09-02T15:00:00Z,APXMIDP,02-09-2024,33,79.6,3276.8
2024-09-02T14:30:00Z,APXMIDP,02-09-2024,32,78.08,3119.55
2024-09-02T14:00:00Z,APXMIDP,02-09-2024,31,78.06,2859.65
2024-09-02T13:30:00Z,APXMIDP,02-09-2024,30,81.49,3494.55
2024-09-02T13:00:00Z,APXMIDP,02-09-2024,29,82.36,3000.75
2024-09-02T12:30:00Z,APXMIDP,02-09-2024,28,85.31,3103.2
2024-09-02T12:00:00Z,APXMIDP,02-09-2024,27,84.9,2755.15
2024-09-02T11:30:00Z,APXMIDP,02-09-2024,26,91.94,2757.45
2024-09-02T11:00:00Z,APXMIDP,02-09-2024,25,96.97,2299.1
2024-09-02T10:30:00Z,APXMIDP,02-09-2024,24,96.36,2134.45
2024-09-02T10:00:00Z,APXMIDP,02-09-2024,23,98.3,1992.05
2024-09-02T09:30:00Z,APXMIDP,02-09-2024,22,103.83,2423.6
2024-09-02T09:00:00Z,APXMIDP,02-09-2024,21,106.83,2765.95
2024-09-02T08:30:00Z,APXMIDP,02-09-2024,20,106.72,2341.4
2024-09-02T08:00:00Z,APXMIDP,02-09-2024,19,107.82,2345.85
2024-09-02T07:30:00Z,APXMIDP,02-09-2024,18,108.81,2727.05
2024-09-02T07:00:00Z,APXMIDP,02-09-2024,17,102.68,2886.3
2024-09-02T06:30:00Z,APXMIDP,02-09-2024,16,121.24,2781.35
2024-09-02T06:00:00Z,APXMIDP,02-09-2024,15,115.86,2642.8
2024-09-02T05:30:00Z,APXMIDP,02-09-2024,14,123.04,2471.85
2024-09-02T05:00:00Z,APXMIDP,02-09-2024,13,115.17,1999.25
2024-09-02T04:30:00Z,APXMIDP,02-09-2024,12,97.8,1519.55
2024-09-02T04:00:00Z,APXMIDP,02-09-2024,11,102.01,1563.9
2024-09-02T03:30:00Z,APXMIDP,02-09-2024,10,81.78,1891.25
2024-09-02T03:00:00Z,APXMIDP,02-09-2024,9,87.73,1405.2
2024-09-02T02:30:00Z,APXMIDP,02-09-2024,8,80.41,1599.4
2024-09-02T02:00:00Z,APXMIDP,02-09-2024,7,78.01,1378.3
2024-09-02T01:30:00Z,APXMIDP,02-09-2024,6,81.35,1601.1
2024-09-02T01:00:00Z,APXMIDP,02-09-2024,5,80.72,1559.95
2024-09-02T00:30:00Z,APXMIDP,02-09-2024,4,83.31,1463
2024-09-02T00:00:00Z,APXMIDP,02-09-2024,3,85,1601.5
2024-09-01T23:30:00Z,APXMIDP,02-09-2024,2,82.26,1569.2
2024-09-01T23:00:00Z,APXMIDP,02-09-2024,1,79.17,1490.4
2024-09-01T22:30:00Z,APXMIDP,01-09-2024,48,86.12,1408.75
2024-09-01T22:00:00Z,APXMIDP,01-09-2024,47,86.98,1436.55
2024-09-01T21:30:00Z,APXMIDP,01-09-2024,46,87.07,1833
2024-09-01T21:00:00Z,APXMIDP,01-09-2024,45,94.35,2094.85
2024-09-01T20:30:00Z,APXMIDP,01-09-2024,44,96.5,1682.1
2024-09-01T20:00:00Z,APXMIDP,01-09-2024,43,104.26,1763.1
2024-09-01T19:30:00Z,APXMIDP,01-09-2024,42,101.78,2076.85
2024-09-01T19:00:00Z,APXMIDP,01-09-2024,41,106.93,2013.1
2024-09-01T18:30:00Z,APXMIDP,01-09-2024,40,110.45,1736.65
2024-09-01T18:00:00Z,APXMIDP,01-09-2024,39,109.32,1707.65
2024-09-01T17:30:00Z,APXMIDP,01-09-2024,38,105.26,2195.1
2024-09-01T17:00:00Z,APXMIDP,01-09-2024,37,104.96,2014.25
2024-09-01T16:30:00Z,APXMIDP,01-09-2024,36,88.31,2449.55
2024-09-01T16:00:00Z,APXMIDP,01-09-2024,35,91.83,2273.35
2024-09-01T15:30:00Z,APXMIDP,01-09-2024,34,73.24,2253.1
